model,log_loss,brier,accuracy
full (Elo + FIFA strength),0.9505483092351168,0.5650791321995443,0.5625
baseline: Elo-only,0.9867970734041088,0.5838225348500607,0.515625
baseline: class-prior,1.1047182091467613,0.6720436173881293,0.390625
