model,log_loss,brier,accuracy
full (Elo + FIFA strength),1.0038178836357423,0.5909112252603479,0.578125
baseline: Elo-only,1.0324698096342295,0.6140101966149183,0.546875
baseline: class-prior,1.0633411075793309,0.6429064547924769,0.453125
