predictor,n,pearson,spearman
continental campaign ppg,195,-0.020426955419184756,-0.04707981508519753
recent competitive ppg (24m),221,0.0909075691009037,0.0857336207723532
pre-tournament Elo (benchmark),224,0.5156711348694175,0.5339082798726438
